promedio,horas_redes,distraccion_acad,horas_estudio,asistencia,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,indice
3.34,2,3,1,30,3.3741771685874764,-0.03417716858747655,0.040443958489114876,0.6004751201011292,2.37844428019187e-5,-0.058187602066831,70
3.57,9,5,4,98,4.117372668927838,-0.5473726689278382,0.03182111381908416,0.5997328426054066,0.004714962382963823,-0.9277583173889985,71
4.83,1,4,5,100,4.3472942643844465,0.4827057356155535,0.014986996247434315,0.5999085076733892,0.0016684125263544645,0.8111310543544038,72
3.8299999999999996,5,5,4,100,4.165971592463419,-0.335971592463419,0.012906841054353165,0.6002027895225953,0.00069313311185524465,-0.5639661507021724,73
3.24,5,2,1,86,3.945144252107906,-0.7051442521079059,0.00793310456269018,0.5992706568100831,0.0018579116415097076,-1.1806931477773177,74
3.6,2.5,1,4,95,4.411200901955527,-0.8112009019555271,0.010352560559717151,0.5988757160319166,0.003224418998856189,-1.359933661573609,75
4,3,3,8,100,4.585586378204835,-0.5855863782048347,0.01906094801710746,0.5996361870346107,0.0031488373777755624,-0.9860512885740693,76
3.8299999999999996,5.5,4,3,100,4.134458321093289,-0.30445832109328963,0.0076574686018163595,0.6002532103682834,3.3413776461874877e-4,-0.5097140407523795,77
4.56,3,2,4,75,4.105898644756618,0.4541013552433819,0.006073418773830811,0.5999785574253864,5.876761496065503e-4,0.7596354028668889,78
3.32,6,1,2,80,3.9477946899423513,-0.6277946899423514,0.014004707444027126,0.599515317459148,0.002631888500903046,-1.0544106134375335,79
3.2800000000000002,8,2,1,50,3.445489262967921,-0.16548926296792077,0.02971587777080083,0.600410119573869,4.0071740869327836e-4,-0.2801882450034459,80
3.8299999999999996,2,1,3,91,4.322599854098843,-0.492599854098843,0.011871885645346308,0.5998867795110528,0.0013676960822983626,-0.826451176700669,81
4,4,2,3,100,4.270783532493586,-0.2707835324935859,0.0060125675296610614,0.600300498044186,2.0684762179301648e-4,-0.45296156687324807,82
3.27,4.5,2,1,60,3.682331359881226,-0.41233135988122616,0.013291196386523514,0.6000632383887589,0.00107593653341973,-0.692279412308611,83
5,4,2,6,90,4.368816414478672,0.6311835855213284,0.008575315483352995,0.5995102207905352,0.0016112016425663055,1.057195689637313,84
3.3499999999999996,20,5,1,60,3.4260436609894223,-0.07604366098942261,0.24274569493676124,0.6004596720889744,0.0011347545197101325,-0.14573762676244512,85
3.62,2,1,5,10,3.58401984421127,0.03598015578873026,0.08194884158967622,0.6004746560695972,5.8350285391832686e-5,0.06262664542587548,86
4,3,1,4,96,4.3986275959083265,-0.3986275959083265,0.009285161563332965,0.6000919294847821,6.968426170050984e-4,-0.6679171241531178,87
3.5,3.5,3,2,55,3.6731480811414357,-0.17314808114143565,0.014058258728057861,0.6004048671247941,2.009889787279032e-4,-0.2908182171954157,88
